Customer Name;Customer ID;City;Region
Claire Gute;CG-12520;Henderson;South
Claire Gute;CG-12520;Henderson;South
Darrin Van Huff;DV-13045;Los Angeles;West
Sean O'Donnell;SO-20335;Fort Lauderdale;South
Sean O'Donnell;SO-20335;Fort Lauderdale;South
Brosina Hoffman;BH-11710;Los Angeles;West
Brosina Hoffman;BH-11710;Los Angeles;West
Brosina Hoffman;BH-11710;Los Angeles;West
Brosina Hoffman;BH-11710;Los Angeles;West
Brosina Hoffman;BH-11710;Los Angeles;West
Brosina Hoffman;BH-11710;Los Angeles;West
Brosina Hoffman;BH-11710;Los Angeles;West
Andrew Allen;AA-10480;Concord;South
Irene Maddox;IM-15070;Seattle;West
Harold Pawlan;HP-14815;Fort Worth;Central
Harold Pawlan;HP-14815;Fort Worth;Central
Pete Kriz;PK-19075;Madison;Central
Alejandro Grove;AG-10270;West Jordan;West
Zuschuss Donatelli;ZD-21925;San Francisco;West
Zuschuss Donatelli;ZD-21925;San Francisco;West
Zuschuss Donatelli;ZD-21925;San Francisco;West
Ken Black;KB-16585;Fremont;Central
Ken Black;KB-16585;Fremont;Central
Sandra Flanagan;SF-20065;Philadelphia;East
Emily Burns;EB-13870;Orem;West
Eric Hoffmann;EH-13945;Los Angeles;West
Eric Hoffmann;EH-13945;Los Angeles;West
Tracy Blumstein;TB-21520;Philadelphia;East
Tracy Blumstein;TB-21520;Philadelphia;East
Tracy Blumstein;TB-21520;Philadelphia;East
Tracy Blumstein;TB-21520;Philadelphia;East
Tracy Blumstein;TB-21520;Philadelphia;East
Tracy Blumstein;TB-21520;Philadelphia;East
Tracy Blumstein;TB-21520;Philadelphia;East
Matt Abelman;MA-17560;Houston;Central
Gene Hale;GH-14485;Richardson;Central
Gene Hale;GH-14485;Richardson;Central
Steve Nguyen;SN-20710;Houston;Central
Steve Nguyen;SN-20710;Houston;Central
Steve Nguyen;SN-20710;Houston;Central
Steve Nguyen;SN-20710;Houston;Central
Linda Cazamias;LC-16930;Naperville;Central
Ruben Ausman;RA-19885;Los Angeles;West
Erin Smith;ES-14080;Melbourne;South
Odella Nelson;ON-18715;Eagan;Central
Odella Nelson;ON-18715;Eagan;Central
Patrick O'Donnell;PO-18865;Westland;Central
Lena Hernandez;LH-16900;Dover;East
Lena Hernandez;LH-16900;Dover;East
Darren Powers;DP-13000;New Albany;Central
Darren Powers;DP-13000;New Albany;Central
Darren Powers;DP-13000;New Albany;Central
Darren Powers;DP-13000;New Albany;Central
Janet Molinari;JM-15265;New York City;East
Janet Molinari;JM-15265;New York City;East
Ted Butterfield;TB-21055;Troy;East
Ted Butterfield;TB-21055;Troy;East
Ted Butterfield;TB-21055;Troy;East
Ted Butterfield;TB-21055;Troy;East
Ted Butterfield;TB-21055;Troy;East
Ted Butterfield;TB-21055;Troy;East
Ted Butterfield;TB-21055;Troy;East
Kunst Miller;KM-16720;Los Angeles;West
Kunst Miller;KM-16720;Los Angeles;West
Kunst Miller;KM-16720;Los Angeles;West
Kunst Miller;KM-16720;Los Angeles;West
Paul Stevenson;PS-18970;Chicago;Central
Brendan Sweed;BS-11590;Gilbert;West
Brendan Sweed;BS-11590;Gilbert;West
Karen Daniels;KD-16270;Springfield;South
Henry MacAllister;HM-14980;New York City;East
Tracy Blumstein;TB-21520;Jackson;Central
Joel Eaton;JE-15745;Memphis;South
Joel Eaton;JE-15745;Memphis;South
Joel Eaton;JE-15745;Memphis;South
Ken Brennan;KB-16600;Houston;Central
Ken Brennan;KB-16600;Houston;Central
Ken Brennan;KB-16600;Houston;Central
Joel Eaton;JE-15745;Houston;Central
Stewart Carmichael;SC-20770;Decatur;South
Stewart Carmichael;SC-20770;Decatur;South
Duane Noonan;DN-13690;San Francisco;West
Duane Noonan;DN-13690;San Francisco;West
Julie Creighton;JC-16105;Durham;South
Christopher Schild;CS-12400;Chicago;Central
Patrick O'Donnell;PO-18865;Columbia;South
Paul Gonzalez;PG-18895;Rochester;Central
Paul Gonzalez;PG-18895;Rochester;Central
Gary Mitchum;GM-14455;Houston;Central
Jim Sink;JS-15685;Los Angeles;West
Jim Sink;JS-15685;Los Angeles;West
Jim Sink;JS-15685;Los Angeles;West
Karl Braun;KB-16315;Minneapolis;Central
Karl Braun;KB-16315;Minneapolis;Central
Karl Braun;KB-16315;Minneapolis;Central
Roger Barcio;RB-19705;Portland;West
Parhena Norris;PN-18775;New York City;East
Katherine Ducich;KD-16345;San Francisco;West
Elpida Rittenbach;ER-13855;Saint Paul;Central
Rick Bensley;RB-19465;Chicago;Central
Rick Bensley;RB-19465;Chicago;Central
Rick Bensley;RB-19465;Chicago;Central
Gary Zandusky;GZ-14470;Rochester;Central
Lena Cacioppo;LC-16870;Aurora;West
Lena Cacioppo;LC-16870;Aurora;West
Lena Cacioppo;LC-16870;Aurora;West
Janet Martin;JM-15250;Charlotte;South
Janet Martin;JM-15250;Charlotte;South
Janet Martin;JM-15250;Charlotte;South
Pete Armstrong;PA-19060;Orland Park;Central
Cynthia Voltz;CV-12805;New York City;East
Clay Ludtke;CL-12565;Urbandale;Central
Clay Ludtke;CL-12565;Urbandale;Central
Ryan Crowe;RC-19960;Columbus;East
Ryan Crowe;RC-19960;Columbus;East
Ryan Crowe;RC-19960;Columbus;East
Ryan Crowe;RC-19960;Columbus;East
Dave Kipp;DK-13090;Seattle;West
Greg Guthrie;GG-14650;Bristol;South
Steven Cartwright;SC-20725;Wilmington;East
Steven Cartwright;SC-20725;Wilmington;East
Steven Cartwright;SC-20725;Wilmington;East
Steven Cartwright;SC-20725;Wilmington;East
Steven Cartwright;SC-20725;Wilmington;East
Alan Dominguez;AD-10180;Houston;Central
Philip Fox;PF-19165;Bloomington;Central
Troy Staebel;TS-21610;Phoenix;West
Troy Staebel;TS-21610;Phoenix;West
Lindsay Shagiari;LS-16975;Los Angeles;West
Lindsay Shagiari;LS-16975;Los Angeles;West
Dorothy Wardle;DW-13585;Columbus;East
Dorothy Wardle;DW-13585;Columbus;East
Dorothy Wardle;DW-13585;Columbus;East
Lena Creighton;LC-16885;Roseville;West
Lena Creighton;LC-16885;Roseville;West
Lena Creighton;LC-16885;Roseville;West
Lena Creighton;LC-16885;Roseville;West
Lena Creighton;LC-16885;Roseville;West
Lena Creighton;LC-16885;Roseville;West
Lena Creighton;LC-16885;Roseville;West
Jonathan Doherty;JD-15895;Philadelphia;East
Sally Hughsby;SH-19975;San Francisco;West
Sally Hughsby;SH-19975;San Francisco;West
Sally Hughsby;SH-19975;San Francisco;West
Sandra Glassco;SG-20080;Independence;Central
Helen Andreada;HA-14920;Pasadena;West
Maureen Gastineau;MG-17680;Newark;East
Justin Ellison;JE-16165;Franklin;Central
Justin Ellison;JE-16165;Franklin;Central
Justin Ellison;JE-16165;Franklin;Central
Justin Ellison;JE-16165;Franklin;Central
Tamara Willingham;TW-21025;Scottsdale;West
Tamara Willingham;TW-21025;Scottsdale;West
Stephanie Phelps;SP-20650;San Jose;West
Stephanie Phelps;SP-20650;San Jose;West
Stephanie Phelps;SP-20650;San Jose;West
Neil Knudson;NK-18490;Seattle;West
Dave Brooks;DB-13060;Seattle;West
Nora Paige;NP-18670;Edmond;Central
Nora Paige;NP-18670;Edmond;Central
Ted Trevino;TT-21070;Los Angeles;West
Eric Murdock;EM-13960;Philadelphia;East
Ruben Dartt;RD-19900;Carlsbad;West
Max Jones;MJ-17740;Seattle;West
Becky Martin;BM-11140;San Antonio;Central
Becky Martin;BM-11140;San Antonio;Central
Becky Martin;BM-11140;San Antonio;Central
Becky Martin;BM-11140;San Antonio;Central
Becky Martin;BM-11140;San Antonio;Central
Becky Martin;BM-11140;San Antonio;Central
Becky Martin;BM-11140;San Antonio;Central
Chad Sievert;CS-12130;Los Angeles;West
Chad Sievert;CS-12130;Los Angeles;West
Chad Sievert;CS-12130;Los Angeles;West
Jennifer Braxton;JB-15400;Chicago;Central
Jennifer Braxton;JB-15400;Chicago;Central
Shirley Jackson;SJ-20500;Houston;Central
Joel Eaton;JE-15745;Newark;East
Joel Eaton;JE-15745;Newark;East
Jim Kriz;JK-15640;New York City;East
David Kendrick;DK-13150;Decatur;Central
David Kendrick;DK-13150;Decatur;Central
Robert Marley;RM-19675;Monroe;South
Robert Marley;RM-19675;Monroe;South
Robert Marley;RM-19675;Monroe;South
Sally Knutson;SK-19990;Fairfield;East
Frank Merwin;FM-14290;Los Angeles;West
Alice McCarthy;AM-10360;Grand Prairie;Central
Alice McCarthy;AM-10360;Grand Prairie;Central
Mark Packer;MP-17470;New York City;East
Mark Packer;MP-17470;New York City;East
Mark Packer;MP-17470;New York City;East
Mark Packer;MP-17470;New York City;East
Mark Packer;MP-17470;New York City;East
Mary Zewe;MZ-17515;Redlands;West
Cassandra Brandow;CB-12025;Hamilton;East
Cassandra Brandow;CB-12025;Hamilton;East
Valerie Mitchum;VM-21685;Westfield;East
Fred Hopkins;FH-14365;Philadelphia;East
Fred Hopkins;FH-14365;Philadelphia;East
Maria Bertelson;MB-17305;Akron;East
Bruce Stewart;BS-11755;Denver;West
Bruce Stewart;BS-11755;Denver;West
Logan Currie;LC-17140;Dallas;Central
Heather Kirkland;HK-14890;Franklin;South
Laurel Elliston;LE-16810;Whittier;West
Joseph Holt;JH-15985;Saginaw;Central
Joseph Holt;JH-15985;Saginaw;Central
Joseph Holt;JH-15985;Saginaw;Central
Joseph Holt;JH-15985;Saginaw;Central
Joseph Holt;JH-15985;Saginaw;Central
Michael Stewart;MS-17980;Dallas;Central
Victoria Wilson;VW-21775;Medina;East
Victoria Wilson;VW-21775;Medina;East
Victoria Wilson;VW-21775;Medina;East
Victoria Wilson;VW-21775;Medina;East
Victoria Wilson;VW-21775;Medina;East
Jonathan Howell;JH-15910;Los Angeles;West
Jonathan Howell;JH-15910;Los Angeles;West
Joni Blumstein;JB-15925;Dublin;East
Joni Blumstein;JB-15925;Dublin;East
Joni Blumstein;JB-15925;Dublin;East
Joni Blumstein;JB-15925;Dublin;East
Joni Blumstein;JB-15925;Dublin;East
Joni Blumstein;JB-15925;Dublin;East
David Smith;DS-13180;Detroit;Central
David Smith;DS-13180;Detroit;Central
David Smith;DS-13180;Detroit;Central
Valerie Dominguez;VD-21670;Columbia;South
Valerie Dominguez;VD-21670;Columbia;South
Erin Ashbrook;EA-14035;Charlotte;South
Christopher Schild;CS-12400;Tampa;South
Christopher Schild;CS-12400;Tampa;South
Christopher Schild;CS-12400;Tampa;South
Christopher Schild;CS-12400;Tampa;South
Christopher Schild;CS-12400;Tampa;South
David Bremer;DB-13120;Santa Clara;West
Ken Lonsdale;KL-16645;Chicago;Central
Ken Lonsdale;KL-16645;Chicago;Central
Ken Lonsdale;KL-16645;Chicago;Central
Ken Lonsdale;KL-16645;Chicago;Central
Ken Lonsdale;KL-16645;Chicago;Central
Ken Lonsdale;KL-16645;Chicago;Central
Ken Lonsdale;KL-16645;Chicago;Central
Dianna Wilson;DW-13480;Lakeville;Central
Dianna Wilson;DW-13480;Lakeville;Central
Dianna Wilson;DW-13480;Lakeville;Central
Dianna Wilson;DW-13480;Lakeville;Central
Dianna Wilson;DW-13480;Lakeville;Central
Logan Haushalter;LH-17155;San Francisco;West
Kelly Collister;KC-16540;San Diego;West
Kelly Collister;KC-16540;San Diego;West
Delfina Latchford;DL-13315;New York City;East
Delfina Latchford;DL-13315;New York City;East
Dan Reichenbach;DR-12880;Chicago;Central
Dan Reichenbach;DR-12880;Chicago;Central
Dan Reichenbach;DR-12880;Chicago;Central
Dan Reichenbach;DR-12880;Chicago;Central
Craig Carreira;CC-12670;New York City;East
Craig Carreira;CC-12670;New York City;East
Craig Carreira;CC-12670;New York City;East
Dorris liebe;Dl-13600;Pasadena;Central
Sean Braxton;SB-20290;Houston;Central
Sean Braxton;SB-20290;Houston;Central
Roy Collins;RC-19825;Chicago;Central
Alan Hwang;AH-10210;Brentwood;West
Claudia Bergmann;CB-12535;Chapel Hill;South
Paul Gonzalez;PG-18895;Morristown;East
Christine Abelman;CA-12310;Cincinnati;East
Christine Abelman;CA-12310;Cincinnati;East
Kristen Hastings;KH-16690;San Francisco;West
Helen Andreada;HA-14920;San Francisco;West
Helen Andreada;HA-14920;San Francisco;West
Helen Andreada;HA-14920;San Francisco;West
Barry Blumstein;BB-10990;Inglewood;West
Barry Blumstein;BB-10990;Inglewood;West
Andrew Gjertsen;AG-10495;Philadelphia;East
Andrew Gjertsen;AG-10495;Philadelphia;East
Andrew Gjertsen;AG-10495;Philadelphia;East
Andrew Gjertsen;AG-10495;Philadelphia;East
Steven Cartwright;SC-20725;Houston;Central
Steven Cartwright;SC-20725;Houston;Central
Jas O'Carroll;JO-15280;Los Angeles;West
Tracy Blumstein;TB-21520;Portland;West
Tracy Blumstein;TB-21520;Portland;West
Tracy Blumstein;TB-21520;Portland;West
Alan Haines;AH-10195;Tamarac;South
Alan Haines;AH-10195;Tamarac;South
Alan Haines;AH-10195;Tamarac;South
Nick Zandusky;NZ-18565;Columbus;East
Nick Zandusky;NZ-18565;Columbus;East
Nick Zandusky;NZ-18565;Columbus;East
Nick Zandusky;NZ-18565;Columbus;East
Kelly Lampkin;KL-16555;Colorado Springs;West
Kelly Lampkin;KL-16555;Colorado Springs;West
Kelly Lampkin;KL-16555;Colorado Springs;West
Kelly Lampkin;KL-16555;Colorado Springs;West
Kelly Lampkin;KL-16555;Colorado Springs;West
Jonathan Doherty;JD-15895;Belleville;East
Jonathan Doherty;JD-15895;Belleville;East
Jonathan Doherty;JD-15895;Belleville;East
Jonathan Doherty;JD-15895;Belleville;East
Jonathan Doherty;JD-15895;Belleville;East
Jonathan Howell;JH-15910;Chicago;Central
Alan Schoenberger;AS-10225;New York City;East
Ken Brennan;KB-16600;Taylor;Central
Corey Roper;CR-12625;Lakewood;East
Corey Roper;CR-12625;Lakewood;East
Shahid Hopkins;SH-20395;Arlington;South
